FLDNAME,DBSYMBOL,ALIAS,SYMBOLID,PROFID,DESCRIPT,REFCODE,CATEGORY,MISMO_VALUE,SRCENV,REC_CUSTOM,CREATE_DATE,MODIFY_DATE
ERFilterType,CFTNBR,Number,25107,,Number,4,,,WGS,N,9/12/2018 16:14,6/11/2020 2:22
ERFilterType,CFTPCT,Percentage,25106,,Percentage,3,,,WGS,N,9/12/2018 16:14,6/11/2020 2:22
ERFilterType,CFTSYM,Symbol,25109,,Symbol,7,,,WGS,N,9/12/2018 16:14,6/11/2020 2:22
ERFilterType,CFTTEXT,Text,25108,,Text,6,,,WGS,N,9/12/2018 16:14,6/11/2020 2:22
ErnstLendPolicyType,ELP_NEW,New,19733,,New,,,,,,9/12/2018 16:14,6/11/2020 2:22
ErnstLendPolicyType,ELP_REI,Reissue,19734,2704,Reissue,,0,,,,9/12/2018 16:14,6/11/2020 2:22
ErnstOwnPolicyType,OLP_NEW,New,19735,,New,,,,,,9/12/2018 16:14,6/11/2020 2:22
ErnstOwnPolicyType,OLP_REI,Reissue,19736,2704,Reissue,,0,,,,9/12/2018 16:14,6/11/2020 2:22
Error Caused By,S_ECB001,Closing Attorney,5217,,Closing Attorney,,,,,,9/12/2018 16:14,6/11/2020 2:22
Error Caused By,S_ECB002,Investor,5218,,Investor,,,,,,9/12/2018 16:14,6/11/2020 2:22
Error Caused By,S_ECB003,Coordinator,5219,,Coordinator,,,,,,9/12/2018 16:14,6/11/2020 2:22
Error Caused By,S_ECB004,Lender,5220,,Lender,,,,,,9/12/2018 16:14,6/11/2020 2:22
Escrow HB Type,HB_CONS,Construction Funds,21686,,Construction Funds,,,,,,9/12/2018 16:14,6/11/2020 2:22
Escrow HB Type,HB_FLOOR,Floor Repair,1088,,Floor Repair,,,,,,9/12/2018 16:14,6/11/2020 2:22
Escrow HB Type,HB_HEAT,Heating Repair,1089,,Heating Repair,,,,,,9/12/2018 16:14,6/11/2020 2:22
Escrow HB Type,HB_OTHR,Other,12151,,Other,,,,,,9/12/2018 16:14,6/11/2020 2:22
Escrow HB Type,HB_ROOF,Roof Repair,1090,,Roof Repair,,,,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Ins Type,EIT_0001,Earthquake Insurance,13868,,Earthquake Insurance,,,EarthquakeInsurance,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Ins Type,EIT_0002,Flood Insurance,13869,,Flood Insurance,,,FloodInsurance,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Ins Type,EIT_0003,Hazard Insurance,13870,,Hazard Insurance,,,HazardInsurance,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Ins Type,EIT_0004,Mortgage Insurance,13871,,Mortgage Insurance,,,MortgageInsurance,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Ins Type,EIT_0005,Other,13872,,Other,,,Other,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Ins Type,EIT_0006,Pest Insurance,13873,,Pest Insurance,,,PestInsurance,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Ins Type,EIT_0007,Storm Insurance,13874,,Storm Insurance,,,StormInsurance,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Period,EP_ANN,Annual,1091,,Annual,7,,Annual,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Period,EP_MO,Monthly,1092,,Monthly,4,,Monthly,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Period,EP_OTH,Other,1093,,Other,O,,Other,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Period,EP_QTRY,Quarterly,1094,,Quarterly,Q,,Quarterly,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Period,EP_SANN,Semi-Annual,1095,,Semi-Annual,S,,SemiAnnual,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Period,EP_UNEQL,Unequal,1096,,Unequal,U,,Unequal,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Tax Type,ETT_0001,Borough Property Tax,13875,,Borough Property Tax,,,BoroughPropertyTax,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Tax Type,ETT_0002,City Property Tax,13876,,City Property Tax,,,CityPropertyTax,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Tax Type,ETT_0003,County Property Tax,13877,,County Property Tax,,,CountyPropertyTax,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Tax Type,ETT_0004,District Property Ta,13878,,District Property Tax,,,DistrictPropertyTax,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Tax Type,ETT_0005,Other Tax,13879,,Other Tax,,,OtherTax,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Tax Type,ETT_0006,School Property Tax,13880,,School Property Tax,,,SchoolPropertyTax,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Tax Type,ETT_0007,State Property Tax,13881,,State Property Tax,,,StatePropertyTax,,,9/12/2018 16:14,6/11/2020 2:22
Escrow Tax Type,ETT_0008,Township Prop Tax,13882,,Township Property Tax,,,TownshipPropertyTax,,,9/12/2018 16:14,6/11/2020 2:22
Eship Status,ES_FAILE,Failed,28757,,Filed,2,,,WGS,N,5/24/2021 23:43,5/24/2021 23:43
Eship Status,ES_INPRO,In Progress,28758,,In Progress,1,,,WGS,N,5/24/2021 23:43,5/24/2021 23:43
Eship Status,ES_SENT,Sent,28759,,Sent,0,,,WGS,N,5/24/2021 23:43,5/24/2021 23:43
eShip Vendor Name,ES_ESNT,Essent,28760,,Essent,,,,WGS,N,5/24/2021 23:43,5/24/2021 23:43
eShip Vendor Name,ES_MGIC,MGIC,28761,,MGIC,,,,WGS,N,5/24/2021 23:43,5/24/2021 23:43
Esign Consent Type,ONETIME,OneTime,27159,,One Time,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Esign Consent Type,PERPACK,PerPackage,27160,,Per Package,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
ESignVendor,ESV_AS,Adobe Sign,25955,,Adobe Sign,,0,,WGS,N,3/18/2019 23:20,6/11/2020 2:22
ESignVendor,ESV_DC,DocuTech,32022,,DocuTech,,,,WGS,N,10/7/2022 7:20,10/7/2022 7:20
ESignVendor,ESV_DM,DocMagic,25956,,DocMagic,,0,,WGS,N,3/18/2019 23:20,6/11/2020 2:22
ESignVendor,ESV_DS,DocuSign,25957,,DocuSign,,0,,WGS,N,3/18/2019 23:20,6/11/2020 2:22
ESignVendor,ESV_EL,eLynx,25958,,eLynx,,0,,WGS,N,3/18/2019 23:20,6/11/2020 2:22
ESignVendor,ESV_ES,EechoSign,32023,,EechoSign,,,,WGS,N,10/7/2022 7:20,10/7/2022 7:20
ESignVendor,ESV_ES6,ESSv6,25959,,ESSv6,,0,,WGS,N,3/18/2019 23:20,6/11/2020 2:22
ESignVendor,ESV_IDS,IDS,32024,,IDS,,,,WGS,N,10/7/2022 7:20,10/7/2022 7:20
ESignVendor,ESV_OS,OneSpan,32025,,OneSpan,,,,WGS,N,10/7/2022 7:20,10/7/2022 7:20
Event_ResStatus_Name,KSAP_41,In Research,26168,,In Research,,,,WGS,N,9/6/2019 14:27,6/11/2020 2:22
Event_ResStatus_Name,KSAP_42,AdditionalInfoNeeded,26169,,AdditionalInfoNeeded,,,,WGS,N,9/6/2019 14:27,6/11/2020 2:22
Event_ResStatus_Name,KSAP_43,Complete,26170,,Completed,,,,WGS,N,9/6/2019 14:27,6/11/2020 2:22
Event_ResStatus_Name,KSAP_44,Cancelled,26171,,Cancelled,,,,WGS,N,9/6/2019 14:27,6/11/2020 2:22
Event_ResStatus_Name,KSAP_45,Duplicate,26172,,Duplicate,,,,WGS,N,9/6/2019 14:27,6/11/2020 2:22
Event_ResStatus_Name,KSAP_46,Processed,26173,,Processed,,,,WGS,N,9/6/2019 14:27,6/11/2020 2:22
Event_ResStatus_Name,KSAP_47,Error,26174,,Error,,,,WGS,N,9/6/2019 14:27,6/11/2020 2:22
Event_ResStatus_Name,KSAP_50,CancellationFailed,27230,,CancellationFailed,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSAP_52,Completed,27231,,Completed,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSAP_53,Declined,27232,,Declined,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSAP_54,Disputed,27233,,Disputed,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSAP_55,Expired,27234,,Expired,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSAP_56,NotValidated,27235,,NotValidated,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSAP_57,PaymentRefundRequested,27236,,PaymentRefundRequested,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSAP_58,Refunded,27237,,Refunded,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSAP_59,RefundFailed,27238,,RefundFailed,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSAP_60,Settled,27239,,Settled,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_01,AcceptOrder,27240,,AcceptOrder,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_02,DenyOrder,27241,,DenyOrder,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_03,DeliverProduct,27242,,DeliverProduct,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_04,DeliverFinalSS,27243,,DeliverFinalSS,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_05,RevisionRequestNotApproved,27244,,RevisionRequestNotApproved,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_06,SuspendOrder,27245,,SuspendOrder,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_07,RequestForCancellation,27246,,RequestForCancellation,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_08,CancelOrder,27247,,CancelOrder,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_09,ResumeOrder,27248,,ResumeOrder,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_10,CancelOrderConfirmed,27249,,CancelOrderConfirmed,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_11,VendorQC,27250,,VendorQC,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_12,QCCorrectionsPending,27251,,QCCorrectionsPending,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_13,QCCorrectionsComplete,27252,,QCCorrectionsComplete,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_14,OrderReopenRequest,27253,,OrderReopenRequest,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_15,OrderReopenApproved,27254,,OrderReopenApproved,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_16,EscalationResponse,27255,,Escalation Response,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_17,RevisedDeliverProduct,27256,,RevisedDeliverProduct,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_18,RevisionRequestApproved,27257,,RevisionRequestApproved,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_19,CompleteOrder,27161,,CompleteOrder,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_20,ClearedTitle,27162,,ClearedTitle,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_ResStatus_Name,KSRSN_21,DeliverPolicy,27163,,DeliverPolicy,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_Status_Name,KSSN_01,RequestRevision,27258,23185,RequestRevision,,0,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_Status_Name,KSSN_02,SuspendOrder,27259,,SuspendOrder,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_Status_Name,KSSN_03,RequestForCancellation,27260,23301,RequestForCancellation,,0,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_Status_Name,KSSN_04,CancelOrder,27261,,CancelOrder,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_Status_Name,KSSN_05,ResumeOrder,27262,,ResumeOrder,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_Status_Name,KSSN_06,CancelOrderConfirmed,27263,2,CancelOrderConfirmed,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_Status_Name,KSSN_07,OrderReopenRequest,27264,,OrderReopenRequest,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_Status_Name,KSSN_08,OrderReopenApproved,27265,,OrderReopenApproved,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_Status_Name,KSSN_09,Escalation,27266,,Escalation,,,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Event_Status_Name,KSSN_10,CompleteOrder,27267,2,CompleteOrder,,0,,WGS,N,12/20/2019 13:18,6/11/2020 2:22
Exc Reason Details,ERD_ACOL,Age of Collateral,32345,27583,Age of Collateral,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:51
Exc Reason Details,ERD_ACR,Acreage,30852,27589,Acreage,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_AOC,Appr out per credit pol,30853,27583,Appraisal outdated per credit policy,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_APPL,Appraisal,32346,27583,Appraisal,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:51
Exc Reason Details,ERD_APTR,Applicant Title Transfer,32356,45612,Applicant Title Transfer,,0,,WGS,N,11/6/2022 7:37,11/7/2022 3:05
Exc Reason Details,ERD_ASWD,Assets Waived,32347,45608,Assets Waived,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:52
Exc Reason Details,ERD_BOC,Bankruptcy out crd policy,30854,27585,Bankruptcy outside credit policy,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_BPEL,Back-end products exceed max,32362,27589,Back-end products exceed max,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:57
Exc Reason Details,ERD_BRID,Borrower Identification,32350,45602,Borrower Identification,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:55
Exc Reason Details,ERD_CLP,Comb loan to val abv prod max,30855,27589,Combined loan to value above product maximum,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_COC,Charge-off credit policy,30856,27585,Charge-off credit policy,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_CRDP,Credit Depth,32348,27585,Credit Depth,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:53
Exc Reason Details,ERD_CSC,Crd score below crd pol thrsh,30857,27585,Credit score below credit policy threshold,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_CSP,Cred score below prod thresh,30858,27589,Credit score below product threshold,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_DPMT,Down Payment,32349,45598,Down Payment,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:53
Exc Reason Details,ERD_EDI,Exceeds maximum debt to income,30859,45600,Exceeds maximum debt to income,,0,,WGS,N,2/22/2022 1:16,11/12/2022 0:56
Exc Reason Details,ERD_EEI,Exc for empl,,,,,,,,,,
Exc Reason Details,ERD_EEID,Exception emp inc debt policy,32363,45606,Exception emp inc debt policy,,0,,WGS,N,11/6/2022 7:37,11/7/2022 3:02
Exc Reason Details,ERD_FOD,Forebearance or deferrmment,30861,27585,Forebearance or deferrmment,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_HFA,Acreage > 10 acres,30862,27589,Acreage > 10 acres (hobby farm),,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_IPC,Inv prp out crd pol,30863,27583,Investment property outside credit policy,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_LCCP,LTV/CLTV exceeds credit policy,32351,45600,LTV/CLTV exceeds credit policy,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:56
Exc Reason Details,ERD_LCE,Lien cap exception,30864,27579,Lien cap exception,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_LHC,LTV/HLTV exds crd pol,30865,27587,LTV or HLTV loan to value exceeds credit policy,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_LIQ,Liquidity,31994,27589,Liquidity,,0,,WGS,N,10/7/2022 7:13,10/7/2022 7:13
Exc Reason Details,ERD_LPS,Lien pos gtr 2nd,30866,27583,Lien position greater than second,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_MCS,Mtg charge off short sale/dil,30867,27585,Mortgage charge off short sale/dil,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_MDG,Major derogatories,30868,27585,Major derogatories,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_MILG,Mileage,32354,45611,Mileage,,0,,WGS,N,11/6/2022 7:37,11/7/2022 3:04
Exc Reason Details,ERD_MLA,Maximum loan amount,30869,27579,Maximum loan amount,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_MLAM,Minimum loan amount,32355,27579,Minimum loan amount,,0,,WGS,N,11/6/2022 7:37,11/7/2022 3:00
Exc Reason Details,ERD_MLT,Maximum loan term,30870,27587,Maximum loan term,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_MRSW,Marine survey waived,32353,45610,Marine survey waived,,0,,WGS,N,11/6/2022 7:37,11/7/2022 3:04
Exc Reason Details,ERD_MTF,Maximum total financing,30871,27579,Maximum total financing,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_MTO,More than one parcel,30872,27589,More than one parcel (collateral),,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_NCB,No credit bureau hit,30873,27585,No credit bureau hit,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_NQT,Does not meet any Non-QM tiers,30874,27581,Does not meet any Non-QM tiers,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_NST,Number of satisfactory trades,30875,27585,Number of satisfactory trades,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_OCE,Occupancy exception,30876,27589,Occupancy exception,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_OOM,Out of market,30877,27583,Out of market,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_OTH,Other,31993,,Other,,,,WGS,N,10/7/2022 7:13,10/7/2022 7:13
Exc Reason Details,ERD_OTI,Ownership time insufficient,30878,27589,Ownership time insufficient,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_PFC,Prior foreclosure,30879,27585,Prior foreclosure,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_PTIE,PTI exceeds maximum,32357,45613,PTI exceeds maximum,,0,,WGS,N,11/6/2022 7:37,11/7/2022 3:06
Exc Reason Details,ERD_RPP,Reserves not per product min,30880,27589,Reserves not per product minimum,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_SAC,2nd appr not obt-per crd pol,30881,27583,Second appraisal not obtained per credit policy,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_TCR,Time in cur res review rule,30882,27585,Time in current residence review rule,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_TITL,Title,32358,45604,Title,,0,,WGS,N,11/6/2022 7:37,11/7/2022 3:02
Exc Reason Details,ERD_TLS,Tax lien on subject property,30883,27585,Tax lien on subject property,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_UAC,Unacceptable collateral,30884,27583,Unacceptable collateral,,0,,WGS,N,3/31/2022 13:31,3/31/2022 13:31
Exc Reason Details,ERD_VOIW,VOI Waived,32360,45606,VOI Waived,,0,,WGS,N,11/6/2022 7:37,11/7/2022 3:03
Exc Reason Details,ERD_WGEM,Warranty/Gap exceeds maximum,32361,45614,Warranty/Gap exceeds maximum,,0,,WGS,N,11/6/2022 7:37,11/7/2022 3:06
Except Config Status,ECS_ACT,Active,27981,,Active,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
Except Config Status,ECS_EXP,Expired,27982,,Expired,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
ExceptCannedReason,CR_AOLC,Addition of Late Condition,28058,,Addition of Late Condition,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
ExceptCannedReason,CR_BOVR,Bank/ Vendor Delay,28059,,Bank/ Vendor Delay,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
ExceptCannedReason,CR_MISR,Misquoted Rate,28060,,Misquoted Rate,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
ExceptCannedReason,CR_UNTRL,Untimely Rate Lock,28061,,Untimely Rate Lock,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
Exception Category,EC_HETRM,HELOC Terms,31604,,HELOC Terms,,,,WGS,N,5/20/2022 5:53,7/7/2022 4:29
Exception Category,EC_MRGN,Margin,28645,,Margin,,,,WGS,N,5/18/2021 21:59,5/18/2021 21:59
Exception Category,EC_PNTS,Points,28646,,Points,,,,WGS,N,5/18/2021 21:59,5/18/2021 21:59
Exception Category,EC_RATE,Rate,28647,,Rate,,,,WGS,N,5/18/2021 21:59,5/18/2021 21:59
Exception Category,EC_UW,Underwriting,28648,,Underwriting,,,,WGS,N,5/18/2021 21:59,5/18/2021 21:59
Exception Decision,ED_APPR,Approve,27983,,Approve,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
Exception Decision,ED_REJCT,Reject,27984,,Reject,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
Exception Reason,ER_ASSET,UW-Assets,32340,24631,UW-Assets,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:47
Exception Reason,ER_CEXRE,Customer Experience/ Retention,27985,2,Customer Experience/ Retention,,0,,WGS,N,12/4/2020 4:58,5/18/2021 21:59
Exception Reason,ER_COM,Competitive,27986,24643,Competitive,,0,,WGS,N,12/4/2020 4:58,5/18/2021 21:59
Exception Reason,ER_DIERR,Disclosure Error,27987,2,Disclosure Error,,0,,WGS,N,12/4/2020 4:58,5/18/2021 21:59
Exception Reason,ER_DPMNT,UW-Down Payment,32341,24631,UW-Down Payment,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:47
Exception Reason,ER_EWLP,Escrow Waiver Lender Paid,27988,24643,Escrow Waiver Lender Paid,,0,,WGS,N,12/4/2020 4:58,5/18/2021 21:59
Exception Reason,ER_LELP,Lock Ext Lender Paid,27989,24643,Lock Ext Lender Paid,,0,,WGS,N,12/4/2020 4:58,5/18/2021 21:59
Exception Reason,ER_OPERR,Lender/Vendor Error,27990,24643,Lender/Vendor Error,,0,,WGS,N,12/4/2020 4:58,5/18/2021 21:59
Exception Reason,ER_PRERR,Pricing Error,27991,24643,Pricing Error,,0,,WGS,N,12/4/2020 4:58,5/18/2021 21:59
Exception Reason,ER_RAR,Bank Alum/Retired,28683,41625,Bank Alumni/Retired Discount,,0,,WGS,N,5/18/2021 21:59,7/7/2022 4:29
Exception Reason,ER_RBE,Bank Error,28684,41625,Bank Error,,0,,WGS,N,5/18/2021 21:59,7/7/2022 4:29
Exception Reason,ER_RMC,Old Property Lien,28685,41625,Unable to Clear Old Property Lien,,0,,WGS,N,5/18/2021 21:59,7/7/2022 4:29
Exception Reason,ER_RMP,Competitive Offer,28686,41625,Competitive Offer,,0,,WGS,N,5/18/2021 21:59,7/7/2022 4:29
Exception Reason,ER_RNR,New Relationship,28687,41625,Establish New Relationship,,0,,WGS,N,5/18/2021 21:59,7/7/2022 4:29
Exception Reason,ER_RSV,Honor Rate/Promo,28688,41625,Honor Rate on Initial Application or Promo Exception,,0,,WGS,N,5/18/2021 21:59,7/7/2022 4:29
Exception Reason,ER_RUS,Deepen Relationship,30885,41625,Deepen Relationship,,0,,WGS,N,3/31/2022 13:31,7/7/2022 4:29
Exception Reason,ER_UWCR,UW-Credit,28689,24631,UW-Credit,,0,,WGS,N,5/18/2021 21:59,5/18/2021 21:59
Exception Reason,ER_UWID,UW-Insuf Doc,28690,24631,UW-Insuf Doc,,0,,WGS,N,5/18/2021 21:59,11/12/2022 0:56
Exception Reason,ER_UWIN,UW- Capacity,28691,24631,UW- Capacity,,0,,WGS,N,5/18/2021 21:59,3/31/2022 13:31
Exception Reason,ER_UWLA,UW- Amount,28692,24631,UW- Amount,,0,,WGS,N,5/18/2021 21:59,3/31/2022 13:31
Exception Reason,ER_UWLTV,UW- Loan Structure,28693,24631,UW- Loan Structure,,0,,WGS,N,5/18/2021 21:59,3/31/2022 13:31
Exception Reason,ER_UWOT,UW-Other,28694,24631,UW-Other,,0,,WGS,N,5/18/2021 21:59,5/18/2021 21:59
Exception Reason,ER_UWPR,UW-Collateral,28695,24631,UW-Collateral,,0,,WGS,N,5/18/2021 21:59,3/31/2022 13:31
Exception Reason,ER_UWRTS,UW-Ratios,32342,24631,UW-Ratios,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:48
Exception Reason,ER_UWTTL,UW-Title,32343,24631,UW-Title,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:48
Exception Reason,ER_UWVOI,UW-VOI,32344,24631,UW-VOI,,0,,WGS,N,11/6/2022 7:37,11/7/2022 2:49
Exception Req Status,ES_APPR,Approved,27992,,Approved,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
Exception Req Status,ES_CAN,Cancelled,27993,,Cancelled,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
Exception Req Status,ES_CREAT,Created,27994,,Created,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
Exception Req Status,ES_PEND,Pending,27995,,Pending,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
Exception Req Status,ES_REJCT,Rejected,27996,,Rejected,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
Exception Status,S_EXS1,Approved,1097,,Approved,,,,,,9/12/2018 16:14,6/11/2020 2:22
Exception Status,S_EXS2,Denied,1098,,Denied,,,,,,9/12/2018 16:14,6/11/2020 2:22
Exception Status,S_EXS4,Waiting For Decision,1099,,Waiting For Decision,,,,,,9/12/2018 16:14,6/11/2020 2:22
Exception Type,ET_AGGO,Agency/Gov Overlay,28649,,Agency/Gov Overlay,,,,WGS,N,5/18/2021 21:59,5/18/2021 21:59
Exception Type,ET_DCGTR,Discount Concession > 0.375%,28062,,Discount Concession > 0.375%,,,,WGS,N,12/4/2020 4:58,12/4/2020 4:58
