loan_number,product_type,service_fee,balance,participation_balance_90,date_interest_paid_to,original_loan_to_value_ratio,net_int,price,premium_discount,funds_due
5528358144,DCU Re-Finance,0.25,25528.12,22975.308,4/1/2022,60.56,1.24,99.75,-57.43827,22922.55292
5528416144,Purchase Vehicle,0.25,14525.78,13073.202,3/16/2022,76.86,2.74,99.75,-32.683005,13062.10948
5528539142,Purchase Vehicle,0.25,10930.31,9837.279,3/28/2022,82.18,1.49,99.75,-24.5931975,9816.701568
5528572144,Purchase Vehicle,0.25,39907.35,35916.615,3/12/2022,85.41,3.74,99.75,-89.7915375,35922.50926
5528626143,Purchase Vehicle,0.25,10651.74,9586.566,3/11/2022,40.85,2.99,99.75,-23.966415,9583.802968
5528754146,DCU Re-Finance,0.25,22415.41,20173.869,3/25/2022,45.65,1.24,99.75,-50.4346725,20132.34399
5528766146,Refinance From Other Financial Institution,0.25,24815.53,22333.977,4/1/2022,59.26,1.74,99.75,-55.8349425,22284.53019
5528779145,Purchase Vehicle,0.25,11214.48,10093.032,3/10/2022,42.56,1.24,99.75,-25.23258,10077.40024
5528874152,Purchase Vehicle,0.25,40202.25,36182.025,4/1/2022,102.06,1.24,99.75,-90.4550625,36098.94512
5528939144,Refinance From Other Financial Institution,0.25,14937.08,13443.372,3/31/2022,85.72,5.49,99.75,-33.60843,13423.91778
5529141146,Own Outright,0.25,16178.81,14560.929,2/5/2022,58.94,1.24,99.75,-36.4023225,14554.70171
5529234142,Purchase Vehicle,0.25,18688.41,16819.569,3/11/2022,71.47,1.74,99.75,-42.0489225,16799.16894
5529279142,Refinance From Other Financial Institution,0.25,20105.1,18094.59,3/21/2022,57.12,2.24,99.75,-45.236475,18068.23139
5529419144,Refinance From Other Financial Institution,0.25,36530.92,32877.828,3/11/2022,67.78,1.74,99.75,-82.19457,32837.95125
5529435143,Purchase Vehicle,0.25,7609.65,6848.685,3/24/2022,34.63,2.74,99.75,-17.1217125,6838.760974
5529559142,Refinance From Other Financial Institution,0.25,21477.75,19329.975,3/10/2022,68.35,2.24,99.75,-48.3249375,19314.86584
5529661145,Own Outright,0.25,31496.59,28346.931,3/11/2022,85.13,1.24,99.75,-70.8673275,28302.06519
5529757142,Refinance From Other Financial Institution,0.25,24090.05,21681.045,4/1/2022,69.08,1.74,99.75,-54.2026125,21633.04376
5529827144,Purchase Vehicle,0.25,40206.98,36186.282,3/1/2022,101.15,1.49,99.75,-90.465705,36150.47245
5529861142,Refinance From Other Financial Institution,0.25,17855.73,16070.157,3/15/2022,59.42,1.24,99.75,-40.1753925,16042.53834
5529891151,DCU Re-Finance,0.25,41899.22,37709.298,4/5/2022,89.58,1.24,99.75,-94.273245,37617.58692
5529910144,Refinance From Other Financial Institution,0.25,30746.69,27672.021,3/21/2022,88.23,1.24,99.75,-69.1800525,27618.82249
5529924149,Refinance From Other Financial Institution,0.25,26810.37,24129.333,3/10/2022,71.4,1.74,99.75,-60.3233325,24101.21737
5529940144,DCU Re-Finance,0.25,6412.77,5771.493,3/10/2022,17.44,2.24,99.75,-14.4287325,5766.981748
5529951144,DCU Re-Finance,0.25,15600.4,14040.36,3/17/2022,39.77,1.74,99.75,-35.1009,14019.31485
5530000144,Purchase Vehicle,0.25,20259.53,18233.577,3/23/2022,37.64,1.74,99.75,-45.5839425,18201.03131
5530064141,Purchase Vehicle,0.25,20364.14,18327.726,3/25/2022,58.31,2.24,99.75,-45.819315,18296.5287
5530144144,Purchase Vehicle,0.25,45518.75,40966.875,3/22/2022,81.76,6.24,99.75,-102.4171875,40976.51625
5530144146,Purchase Vehicle,0.25,51943.65,46749.285,2/3/2022,72.78,2.74,99.75,-116.8732125,46853.50389
5530182149,Purchase Vehicle,0.25,66901.88,60211.692,3/14/2022,74.92,1.24,99.75,-150.52923,60110.25592
5530221147,Refinance From Other Financial Institution,0.25,22684.04,20415.636,3/15/2022,65.37,1.74,99.75,-51.03909,20386.9814
5530245145,Refinance From Other Financial Institution,0.25,25516.35,22964.715,3/25/2022,63.91,2.24,99.75,-57.4117875,22925.62465
5530286148,DCU Re-Finance,0.25,17144.22,15429.798,3/23/2022,83.53,1.24,99.75,-38.574495,15399.08636
5530296144,DCU Re-Finance,0.25,26259.18,23633.262,3/15/2022,49.8,1.24,99.75,-59.083155,23592.64516
5530333142,Refinance From Other Financial Institution,0.25,18165.09,16348.581,3/10/2022,45.16,2.99,99.75,-40.8714525,16345.20827
5530391143,Purchase Vehicle,0.25,16962.19,15265.971,4/1/2022,55.25,2.24,99.75,-38.1649275,15233.4273
5530441145,Purchase Vehicle,0.25,16786.04,15107.436,3/17/2022,52.75,2.99,99.75,-37.76859,15095.65634
5530529149,DCU Re-Finance,0.25,23939.37,21545.433,3/7/2022,78.43,1.24,99.75,-53.8635825,21514.26001
5530960144,Purchase Vehicle,0.25,43842.54,39458.286,3/31/2022,99.64,1.24,99.75,-98.645715,39369.02379
5530966142,Purchase Vehicle,0.25,23846.44,21461.796,2/15/2022,80.09,1.24,99.75,-53.65449,21445.32628
5530988142,Purchase Vehicle,0.25,23325.7,20993.13,4/1/2022,53.81,2.24,99.75,-52.482825,20948.37725
5531067143,Refinance From Other Financial Institution,0.25,13934.47,12541.023,3/31/2022,38.52,2.24,99.75,-31.3525575,12515.05793
5531134145,Refinance From Other Financial Institution,0.25,24218.78,21796.902,3/1/2022,65.72,1.24,99.75,-54.492255,21769.80815
5531161146,Purchase Vehicle,0.25,50857.65,45771.885,3/14/2022,75.51,3.24,99.75,-114.4297125,45754.96821
5531203145,Purchase Vehicle,0.25,41756.99,37581.291,4/2/2022,75.94,1.49,99.75,-93.9532275,37495.00847
5531393144,Purchase Vehicle,0.25,52831.64,47548.476,3/22/2022,92.77,1.24,99.75,-118.87119,47455.45034
5531421145,Refinance From Other Financial Institution,0.25,17396.47,15656.823,4/1/2022,53.94,1.74,99.75,-39.1420575,15622.15922
5531422146,DCU Re-Finance,0.25,14374.87,12937.383,3/25/2022,71.7,1.74,99.75,-32.3434575,12913.05718
5531650147,Refinance From Other Financial Institution,0.25,17518.98,15767.082,3/14/2022,68.37,4.74,99.75,-39.417705,15776.80575
5531841145,Purchase Vehicle,0.25,33702.57,30332.313,3/21/2022,77.57,2.24,99.75,-75.8307825,30288.12755
5532029144,DCU Re-Finance,0.25,15615.68,14054.112,3/21/2022,48.27,2.74,99.75,-35.13528,14036.91208
5532121147,DCU Re-Finance,0.25,7153.11,6437.799,3/23/2022,59.98,1.74,99.75,-16.0944975,6426.30797
5532256144,DCU Re-Finance,0.25,18201.01,16380.909,3/29/2022,43.54,1.74,99.75,-40.9522725,16346.98481
5532289152,Purchase Vehicle,0.25,31765.71,28589.139,4/1/2022,56.9,1.74,99.75,-71.4728475,28525.84343
5532536143,Refinance From Other Financial Institution,0.25,12886.72,11598.048,3/21/2022,62.63,1.49,99.75,-28.99512,11577.10161
5532612144,Purchase Vehicle,0.25,36234.22,32610.798,3/21/2022,75.65,1.24,99.75,-81.526995,32548.10486
5532664141,Refinance From Other Financial Institution,0.25,24037.75,21633.975,3/28/2022,76.13,1.24,99.75,-54.0849375,21587.23969
5532735143,Refinance From Other Financial Institution,0.25,16978.48,15280.632,4/6/2022,74.96,1.99,99.75,-38.20158,15243.26353
5532851146,DCU Re-Finance,0.25,13416.91,12075.219,4/4/2022,91.12,1.24,99.75,-30.1880475,12046.26163
5532887143,Purchase Vehicle,0.25,13129.15,11816.235,3/23/2022,68.03,1.49,99.75,-29.5405875,11793.92983
5533030141,Refinance From Other Financial Institution,0.25,20559.15,18503.235,4/1/2022,56.02,1.74,99.75,-46.2580875,18462.26934
5533062141,Purchase Vehicle,0.25,27354.11,24618.699,4/5/2022,67.75,1.24,99.75,-61.5467475,24558.82498
5533181143,Purchase Vehicle,0.25,30609.26,27548.334,3/8/2022,62.32,1.24,99.75,-68.870835,27507.53982
5533248147,Purchase Vehicle,0.25,49991.66,44992.494,3/25/2022,78.17,1.49,99.75,-112.481235,44903.8896
5533338142,Purchase Vehicle,0.25,15154.2,13638.78,3/10/2022,84.42,1.99,99.75,-34.09695,13625.50368
5533379143,DCU Re-Finance,0.25,14157.43,12741.687,3/31/2022,40.11,2.74,99.75,-31.8542175,12716.52828
5533396148,Refinance From Other Financial Institution,0.25,37353.5,33618.15,3/25/2022,80.28,1.24,99.75,-84.045375,33548.95187
5533520147,DCU Re-Finance,0.25,19461.83,17515.647,3/11/2022,79.27,1.74,99.75,-43.7891175,17494.40268
5533980142,Refinance From Other Financial Institution,0.25,15222.93,13700.637,3/9/2022,74.17,1.74,99.75,-34.2515925,13685.32607
5534103149,DCU Re-Finance,0.25,18672.94,16805.646,4/6/2022,51.12,1.24,99.75,-42.014115,16764.20282
5534340144,Purchase Vehicle,0.25,59002.27,53102.043,3/22/2022,90.79,1.49,99.75,-132.7551075,53003.97153
5534373148,Refinance From Other Financial Institution,0.25,21204.83,19084.347,4/4/2022,73.69,1.24,99.75,-47.7108675,19038.58117
5534373149,Purchase Vehicle,0.25,42335.09,38101.581,4/4/2022,80.19,1.24,99.75,-95.2539525,38010.21028
5534404142,Refinance From Other Financial Institution,0.25,27506.95,24756.255,4/4/2022,90.86,1.24,99.75,-61.8906375,24696.88747
5534446144,Purchase Vehicle,0.25,12081.13,10873.017,3/26/2022,40.75,1.74,99.75,-27.1825425,10852.05442
5534462141,Purchase Vehicle,0.25,7679.81,6911.829,3/26/2022,39.18,3.49,99.75,-17.2795725,6902.480041
5534579147,DCU Re-Finance,0.25,18256.56,16430.904,3/30/2022,61.37,2.24,99.75,-41.07726,16397.89364
5534613144,DCU Re-Finance,0.25,19438.56,17494.704,3/15/2022,60.37,1.74,99.75,-43.73676,17470.1491
5534689149,Purchase Vehicle,0.25,17528.6,15775.74,3/29/2022,63.91,1.74,99.75,-39.43935,15743.06909
5534773146,DCU Re-Finance,0.25,18661.4,16795.26,3/22/2022,62.99,1.49,99.75,-41.98815,16764.24169
5534884143,Purchase Vehicle,0.25,9225.73,8303.157,3/17/2022,27.64,1.99,99.75,-20.7578925,8291.905654
5534939145,Purchase Vehicle,0.25,36576.64,32918.976,3/23/2022,59.97,1.49,99.75,-82.29744,32856.8358
5534992145,DCU Re-Finance,0.25,13774.47,12397.023,4/6/2022,76.31,1.74,99.75,-30.9925575,12366.62142
5535040145,Refinance From Other Financial Institution,0.25,16712.78,15041.502,3/3/2022,60.33,2.49,99.75,-37.603755,15039.81241
5535042141,Purchase Vehicle,0.25,11474.99,10327.491,4/5/2022,46.84,1.49,99.75,-25.8187275,10302.51545
5535059143,Purchase Vehicle,0.25,14226.67,12804.003,4/1/2022,54.77,3.49,99.75,-32.0100075,12779.33863
5535106144,Refinance From Other Financial Institution,0.25,10114.21,9102.789,3/23/2022,35.46,2.24,99.75,-22.7569725,9088.411581
5535145148,DCU Re-Finance,0.25,23892.13,21502.917,3/19/2022,88.74,1.24,99.75,-53.7572925,21463.0394
5535436145,Purchase Vehicle,0.25,16036.56,14432.904,3/24/2022,47.73,1.74,99.75,-36.08226,14406.45422
5535489147,DCU Re-Finance,0.25,33338.96,30005.064,3/10/2022,59.77,1.24,99.75,-75.01266,29958.59314
5535515146,DCU Re-Finance,0.25,18867.65,16980.885,3/29/2022,70.8,1.74,99.75,-42.4522125,16945.71829
5535520145,Refinance From Other Financial Institution,0.25,27551.58,24796.422,3/30/2022,90.48,1.74,99.75,-61.991055,24743.88755
5535585144,Purchase Vehicle,0.25,14060.59,12654.531,3/10/2022,33.16,1.24,99.75,-31.6363275,12634.93208
5535655146,DCU Re-Finance,0.25,23182.37,20864.133,3/24/2022,67.1,2.24,99.75,-52.1603325,20829.89867
5535672148,DCU Re-Finance,0.25,24101.58,21691.422,4/2/2022,92.52,1.49,99.75,-54.228555,21641.62087
5535795144,Refinance From Other Financial Institution,0.25,27649.92,24884.928,3/11/2022,60.87,1.24,99.75,-62.21232,24845.54164
5535805145,DCU Re-Finance,0.25,9816.4,8834.76,3/15/2022,30.44,1.74,99.75,-22.0869,8822.35987
5535836144,Refinance From Other Financial Institution,0.25,23561.39,21205.251,4/2/2022,67.22,1.74,99.75,-53.0131275,21157.29227
5535928145,Refinance From Other Financial Institution,0.25,9030.42,8127.378,3/16/2022,92.86,1.24,99.75,-20.318445,8113.133935
5535934142,Refinance From Other Financial Institution,0.25,8047.77,7242.993,4/4/2022,28.61,1.74,99.75,-18.1074825,7225.921365
5536004143,DCU Re-Finance,0.25,12403.5,11163.15,3/17/2022,50.89,1.49,99.75,-27.907875,11144.81185
5536016143,Purchase Vehicle,0.25,18525.91,16673.319,3/12/2022,58.95,3.99,99.75,-41.6832975,16679.02447
5536173142,Refinance From Other Financial Institution,0.25,24366.48,21929.832,3/21/2022,44.1,2.49,99.75,-54.82458,21900.44002
5536206147,Purchase Vehicle,0.25,20393.82,18354.438,3/23/2022,70.57,2.24,99.75,-45.886095,18325.44805
5536256144,Purchase Vehicle,0.25,12767.57,11490.813,3/30/2022,67.02,2.24,99.75,-28.7270325,11467.72748
5536273145,Refinance From Other Financial Institution,0.25,25975.62,23378.058,3/31/2022,80.61,2.74,99.75,-58.445145,23331.89754
5536293143,Purchase Vehicle,0.25,8895.19,8005.671,4/1/2022,48.87,2.49,99.75,-20.0141775,7988.933664
5536296146,DCU Re-Finance,0.25,19657.93,17692.137,3/29/2022,59.48,2.24,99.75,-44.2303425,17657.67853
5536412142,Purchase Vehicle,0.25,7490.7,6741.63,4/5/2022,44.06,3.49,99.75,-16.854075,6726.065146
5536423143,Purchase Vehicle,0.25,14891.42,13402.278,4/5/2022,51.88,2.49,99.75,-33.505695,13370.60089
5536472145,DCU Re-Finance,0.25,21793.68,19614.312,3/30/2022,55.67,1.74,99.75,-49.03578,19572.75653
5536477143,Refinance From Other Financial Institution,0.25,15490.16,13941.144,3/12/2022,50.7,1.74,99.75,-34.85286,13923.57052
5536563144,Purchase Vehicle,0.25,14183.11,12764.799,3/12/2022,48.91,1.74,99.75,-31.9119975,12748.70836
5536614147,Purchase Vehicle,0.25,40952.26,36857.034,3/29/2022,92.04,3.74,99.75,-92.142585,36798.88067
5536685142,Refinance From Other Financial Institution,0.25,16757.56,15081.804,3/10/2022,46.78,1.74,99.75,-37.70451,15064.2306
5536699144,Purchase Vehicle,0.25,15794.56,14215.104,3/10/2022,37.9,1.74,99.75,-35.53776,14198.54048
5536715142,Refinance From Other Financial Institution,0.25,26582.07,23923.863,4/4/2022,77.67,2.24,99.75,-59.8096575,23868.45796
5536773142,Purchase Vehicle,0.25,15544.84,13990.356,2/22/2022,49.98,3.49,99.75,-34.97589,14014.23926
5537076144,Purchase Vehicle,0.25,15314.5,13783.05,3/17/2022,77.64,2.24,99.75,-34.457625,13766.35552
5537235144,Purchase Vehicle,0.25,25411.5,22870.35,4/4/2022,67.58,3.24,99.75,-57.175875,22819.26453
5537281148,Purchase Vehicle,0.25,28427.41,25584.669,3/30/2022,74.51,1.74,99.75,-63.9616725,25530.46455
5537323144,Purchase Vehicle,0.25,29611.07,26649.963,4/4/2022,73.11,1.99,99.75,-66.6249075,26587.697
5537456143,DCU Re-Finance,0.25,22894.53,20605.077,3/12/2022,80.54,1.24,99.75,-51.5126925,20571.76452
5537456144,DCU Re-Finance,0.25,19266.07,17339.463,3/14/2022,52.18,1.24,99.75,-43.3486575,17310.25194
5537490143,Refinance From Other Financial Institution,0.25,22736.6,20462.94,3/31/2022,71.16,1.99,99.75,-51.15735,20419.5922
5537506143,Refinance From Other Financial Institution,0.25,18274.18,16446.762,3/12/2022,68.96,1.74,99.75,-41.116905,16426.03007
5537566143,Refinance From Other Financial Institution,0.25,27055.17,24349.653,3/21/2022,56.72,1.74,99.75,-60.8741325,24308.51209
5537705150,Purchase Vehicle,0.25,44526.76,40074.084,4/1/2022,97.33,1.24,99.75,-100.18521,39982.06732
5537730144,Purchase Vehicle,0.25,24025.74,21623.166,3/16/2022,86.66,3.74,99.75,-54.057915,21617.85203
5537762148,Purchase Vehicle,0.25,16838.35,15154.515,3/31/2022,82.14,1.24,99.75,-37.8862875,15120.23258
5538049145,Refinance From Other Financial Institution,0.25,15946.13,14351.517,2/22/2022,39.62,3.49,99.75,-35.8787925,14376.01681
5538062142,Refinance From Other Financial Institution,0.25,25663.51,23097.159,3/17/2022,57.1,2.24,99.75,-57.7428975,23069.18296
5538209144,Purchase Vehicle,0.25,20630.07,18567.063,3/29/2022,58.94,2.99,99.75,-46.4176575,18534.3341
5538248145,Refinance From Other Financial Institution,0.25,22073.07,19865.763,3/7/2022,61.36,2.24,99.75,-49.6644075,19853.89253
5538448141,Purchase Vehicle,0.25,15036.63,13532.967,4/6/2022,50.25,2.24,99.75,-33.8324175,13499.9651
5538681151,Purchase Vehicle,0.25,29551.12,26596.008,3/10/2022,83.89,2.49,99.75,-66.49002,26580.32
5538713143,Refinance From Other Financial Institution,0.25,25208.32,22687.488,4/1/2022,73.82,1.74,99.75,-56.71872,22637.25852
5538732142,Refinance From Other Financial Institution,0.25,14020.85,12618.765,12/15/2021,42.17,3.24,99.75,-31.5469125,12713.79294
5538736147,Purchase Vehicle,0.25,27917.03,25125.327,3/14/2022,58.71,1.74,99.75,-62.8133175,25091.25981
5538807145,DCU Re-Finance,0.25,9712.87,8741.583,3/18/2022,50.65,1.24,99.75,-21.8539575,8725.668529
5538997143,Refinance From Other Financial Institution,0.25,6067.79,5461.011,4/5/2022,42.96,1.24,99.75,-13.6525275,5447.729522
5539053141,Refinance From Other Financial Institution,0.25,13210.25,11889.225,3/18/2022,32.7,2.24,99.75,-29.7230625,11874.09474
5539064142,Refinance From Other Financial Institution,0.25,20974.05,18876.645,3/10/2022,63.13,2.24,99.75,-47.1916125,18861.89019
5539070142,Refinance From Other Financial Institution,0.25,16495.83,14846.247,3/16/2022,68.16,1.74,99.75,-37.1156175,14824.70164
5539203142,Purchase Vehicle,0.25,11792.08,10612.872,3/8/2022,42.34,2.24,99.75,-26.53218,10605.87914
5539263145,Refinance From Other Financial Institution,0.25,19454.32,17508.888,3/23/2022,76.89,1.99,99.75,-43.77222,17479.43469
5539425142,Refinance From Other Financial Institution,0.25,8293.96,7464.564,4/1/2022,41.21,2.24,99.75,-18.66141,7448.651186
5539517144,Purchase Vehicle,0.25,12416.27,11174.643,3/15/2022,58.09,1.74,99.75,-27.9366075,11158.9587
5539618147,Refinance From Other Financial Institution,0.25,19358.85,17422.965,3/4/2022,49.38,1.24,99.75,-43.5574125,17399.53231
5539623142,Refinance From Other Financial Institution,0.25,25124.64,22612.176,3/14/2022,62.04,1.74,99.75,-56.53044,22581.51637
5539686143,Refinance From Other Financial Institution,0.25,18889.29,17000.361,3/10/2022,67.73,1.74,99.75,-42.5009025,16980.55209
5539694146,DCU Re-Finance,0.25,15588.09,14029.281,3/16/2022,75.95,2.24,99.75,-35.0732025,14013.14925
5539723145,Purchase Vehicle,0.25,22562.52,20306.268,3/14/2022,87.37,1.24,99.75,-50.76567,20272.05889
5539730141,Purchase Vehicle,0.25,16633.82,14970.438,4/5/2022,42.45,2.24,99.75,-37.426095,14934.84937
5539752145,Refinance From Other Financial Institution,0.25,18884.52,16996.068,2/17/2022,79.68,2.74,99.75,-42.49017,17016.09542
5539773144,Refinance From Other Financial Institution,0.25,22077.14,19869.426,3/9/2022,53.46,1.24,99.75,-49.673565,19839.3279
5539815141,Purchase Vehicle,0.25,13173.58,11856.222,3/26/2022,51.76,1.74,99.75,-29.640555,11833.36385
5539999146,DCU Re-Finance,0.25,15816.74,14235.066,3/30/2022,87.75,1.49,99.75,-35.587665,14204.12716
5540003141,Purchase Vehicle,0.25,20444.09,18399.681,4/1/2022,101.59,3.99,99.75,-45.9992025,18365.74997
5540105144,Purchase Vehicle,0.25,24987.93,22489.137,4/4/2022,85.11,1.24,99.75,-56.2228425,22435.2062
5540107142,Refinance From Other Financial Institution,0.25,12733.66,11460.294,3/31/2022,57.68,1.24,99.75,-28.650735,11434.36862
5540276144,Refinance From Other Financial Institution,0.25,32602.75,29342.475,4/5/2022,86.08,1.74,99.75,-73.3561875,29271.9164
5540360143,DCU Re-Finance,0.25,12683.63,11415.267,3/11/2022,71.06,1.74,99.75,-28.5381675,11401.42169
5540532144,DCU Re-Finance,0.25,9796.22,8816.598,3/7/2022,54.8,2.74,99.75,-22.041495,8815.073816
5540594141,Purchase Vehicle,0.25,18783.83,16905.447,3/26/2022,57.44,1.74,99.75,-42.2636175,16872.85422
5540615144,DCU Re-Finance,0.25,22676.01,20408.409,4/1/2022,83.06,1.24,99.75,-51.0210225,20361.54794
5540624144,Own Outright,0.25,16451.05,14805.945,3/16/2022,72.07,2.24,99.75,-37.0148625,14788.92019
5540738146,Refinance From Other Financial Institution,0.25,23669.47,21302.523,4/1/2022,73.56,1.24,99.75,-53.2563075,21253.60891
5540740143,Refinance From Other Financial Institution,0.25,17529.35,15776.415,4/6/2022,58.87,1.74,99.75,-39.4410375,15737.72604
5540871142,Purchase Vehicle,0.25,13648.44,12283.596,3/12/2022,58.88,2.49,99.75,-30.70899,12274.67441
5541104145,Refinance From Other Financial Institution,0.25,15687.35,14118.615,4/4/2022,82.67,1.74,99.75,-35.2965375,14085.33762
5541332143,Purchase Vehicle,0.25,9015.63,8114.067,3/23/2022,43.61,2.99,99.75,-20.2851675,8103.752131
5541406144,DCU Re-Finance,0.25,23666.99,21300.291,4/1/2022,79.96,1.74,99.75,-53.2507275,21253.13274
5541410146,Own Outright,0.25,33784.63,30406.167,4/1/2022,83.32,1.24,99.75,-76.0154175,30336.34944
5541556145,Purchase Vehicle,0.25,47303.28,42572.952,4/2/2022,65.07,1.49,99.75,-106.43238,42475.20917
5541587144,DCU Re-Finance,0.25,8785.62,7907.058,4/4/2022,41.39,2.99,99.75,-19.767645,7889.233542
5541591143,Refinance From Other Financial Institution,0.25,25555.8,23000.22,4/5/2022,82.84,1.24,99.75,-57.50055,22944.2822
5541645151,Purchase Vehicle,0.25,45786.31,41207.679,3/29/2022,59.26,1.24,99.75,-103.0191975,41117.25919
5541676144,DCU Re-Finance,0.25,16878.94,15191.046,2/4/2022,80.95,1.74,99.75,-37.977615,15197.96729
5541710144,Purchase Vehicle,0.25,21395.21,19255.689,4/1/2022,55.64,2.74,99.75,-48.1392225,19216.22275
5541785143,Purchase Vehicle,0.25,6609.83,5948.847,4/1/2022,33.64,1.74,99.75,-14.8721175,5935.676416
5541987143,Refinance From Other Financial Institution,0.25,21624.33,19461.897,4/4/2022,34.6,3.49,99.75,-48.6547425,19418.82489
5542033147,Purchase Vehicle,0.25,20377.5,18339.75,3/31/2022,84.03,1.24,99.75,-45.849375,18298.26197
5542056144,Purchase Vehicle,0.25,23675.29,21307.761,3/28/2022,73.58,1.74,99.75,-53.2694025,21264.64927
5542057143,Refinance From Other Financial Institution,0.25,23989.98,21590.982,3/16/2022,65.73,1.74,99.75,-53.977455,21559.64846
5542073145,Purchase Vehicle,0.25,41864.67,37678.203,4/2/2022,83.75,1.24,99.75,-94.1955075,37590.40763
5542117144,DCU Re-Finance,0.25,22035.2,19831.68,4/2/2022,76.91,1.74,99.75,-49.5792,19786.8278
5542129144,Refinance From Other Financial Institution,0.25,16145.89,14531.301,4/1/2022,67.98,1.99,99.75,-36.3282525,14499.72627
5542245142,Refinance From Other Financial Institution,0.25,25850.34,23265.306,3/15/2022,82.39,2.24,99.75,-58.163265,23239.98187
5542273149,Purchase Vehicle,0.25,32689.61,29420.649,3/10/2022,91.44,1.74,99.75,-73.5516225,29386.3679
5542289146,Purchase Vehicle,0.25,32097.42,28887.678,3/25/2022,78.32,1.24,99.75,-72.219195,28828.21687
5542368147,Purchase Vehicle,0.25,4520.36,4068.324,3/22/2022,32,2.99,99.75,-10.17081,4063.485481
5542396149,DCU Re-Finance,0.25,13920.9,12528.81,4/2/2022,85.14,1.24,99.75,-31.322025,12499.61616
5542422143,Purchase Vehicle,0.25,16454.79,14809.311,3/19/2022,60.61,1.74,99.75,-37.0232775,14785.70131
5542435147,Purchase Vehicle,0.25,32383.5,29145.15,2/18/2022,86.88,1.24,99.75,-72.862875,29119.81368
5542546143,Refinance From Other Financial Institution,0.25,15766.43,14189.787,3/24/2022,71.75,1.74,99.75,-35.4744675,14163.78276
5542550147,DCU Re-Finance,0.25,15051.01,13545.909,4/1/2022,55.85,1.24,99.75,-33.8647725,13514.80537
5542708143,DCU Re-Finance,0.25,28449.77,25604.793,4/4/2022,88.91,1.24,99.75,-64.0119825,25543.3906
5543242144,Purchase Vehicle,0.25,22703.93,20433.537,3/5/2022,60.96,1.24,99.75,-51.0838425,20405.36111
5543298145,Purchase Vehicle,0.25,17617.06,15855.354,3/12/2022,71.04,1.99,99.75,-39.638385,15838.19112
5543354143,Refinance From Other Financial Institution,0.25,27807.39,25026.651,3/17/2022,59.87,1.24,99.75,-62.5666275,24981.939
5543359142,Purchase Vehicle,0.25,13911.15,12520.035,3/31/2022,86.67,1.74,99.75,-31.3000875,12492.91283
5543364145,Purchase Vehicle,0.25,29626.69,26664.021,4/4/2022,75.72,1.49,99.75,-66.6600525,26600.62638
5543432143,Refinance From Other Financial Institution,0.25,14671.5,13204.35,3/15/2022,67.15,1.49,99.75,-33.010875,13183.73674
5543506144,Purchase Vehicle,0.25,32363.98,29127.582,3/3/2022,82.56,1.49,99.75,-72.818955,29096.37958
5543558143,Purchase Vehicle,0.25,12453.07,11207.763,3/11/2022,68.42,2.24,99.75,-28.0194075,11198.3147
5543596146,DCU Re-Finance,0.25,13474.39,12126.951,3/25/2022,74.24,1.74,99.75,-30.3173775,12104.14901
5543609145,Purchase Vehicle,0.25,19906.33,17915.697,3/14/2022,45.15,1.24,99.75,-44.7892425,17885.51519
5543929146,DCU Re-Finance,0.25,24966.14,22469.526,3/15/2022,72.52,1.74,99.75,-56.173815,22437.98864
5543930146,Refinance From Other Financial Institution,0.25,13281.2,11953.08,4/6/2022,47.86,1.74,99.75,-29.8827,11923.76712
5543932143,Refinance From Other Financial Institution,0.25,19864.08,17877.672,3/21/2022,76.25,1.74,99.75,-44.69418,17847.46608
5544046142,Refinance From Other Financial Institution,0.25,28147.94,25333.146,4/5/2022,82.97,1.24,99.75,-63.332865,25271.5344
5544072142,Purchase Vehicle,0.25,12993.62,11694.258,4/2/2022,57.49,2.24,99.75,-29.235645,11668.61073
5544212145,Purchase Vehicle,0.25,27582.16,24823.944,3/14/2022,78.98,1.49,99.75,-62.05986,24786.2048
5544240148,Purchase Vehicle,0.25,48282.21,43453.989,3/10/2022,99.93,1.24,99.75,-108.6349725,43386.68889
5544245142,Refinance From Other Financial Institution,0.25,18211.81,16390.629,3/12/2022,52.3,2.24,99.75,-40.9765725,16375.80558
5544245143,Refinance From Other Financial Institution,0.25,35907.51,32316.759,3/24/2022,86.95,2.24,99.75,-80.7918975,32263.73295
5544426145,Refinance From Other Financial Institution,0.25,25916.64,23324.976,3/18/2022,63.02,1.74,99.75,-58.31244,23288.90217
5544572144,Purchase Vehicle,0.25,11529.55,10376.595,3/24/2022,61.57,2.24,99.75,-25.9414875,10359.56886
5544596143,Purchase Vehicle,0.25,34276.04,30848.436,4/4/2022,85.58,1.24,99.75,-77.12109,30774.45891
5544659143,Refinance From Other Financial Institution,0.25,41768.82,37591.938,3/26/2022,104.29,1.24,99.75,-93.979845,37513.28331
5544697145,Purchase Vehicle,0.25,21357.31,19221.579,3/28/2022,83.43,2.24,99.75,-48.0539475,19185.32131
5544752144,DCU Re-Finance,0.25,27715.65,24944.085,3/10/2022,65.72,1.49,99.75,-62.3602125,24910.23622
5544755144,Purchase Vehicle,0.25,19609.65,17648.685,3/15/2022,58.54,2.74,99.75,-44.1217125,17635.03507
5544833144,Purchase Vehicle,0.25,11466.05,10319.445,3/10/2022,45.73,1.99,99.75,-25.7986125,10309.3998
