ALIAS||CATEGORY||CREATE_DATE||DBSYMBOL||DESCRIPT||FLDNAME||MISMO_VALUE||MODIFY_DATE||PROFID||REC_CUSTOM||REFCODE||SRCENV||SYMBOLID
"Remarks"||0||9/12/2018 4:14:42 PM||"TB_REMRK"||"Remarks"||"Customizable Toolbar"||||3/11/2021 6:03:35 AM||19901||||||||838
"Rate Lock Options"||||9/12/2018 4:14:42 PM||"TB_RTOPT"||"GFXX1_RateLockOptionsButton"||"Customizable Toolbar"||||6/11/2020 2:22:01 AM||||||||||839
"Rate Lock Review"||||9/12/2018 4:14:42 PM||"TB_RTRVW"||"Rate Lock Review"||"Customizable Toolbar"||||6/11/2020 2:22:01 AM||||||||||840
"Skins"||||9/12/2018 4:14:42 PM||"TB_SKINS"||"NetOx Skins"||"Customizable Toolbar"||||6/11/2020 2:22:01 AM||||||||||841
"Disposition DateText"||||9/12/2018 4:14:42 PM||"TB_TEXT4"||"Disposition Date"||"Customizable Toolbar"||||6/11/2020 2:22:01 AM||||||||||842
"Validations"||0||9/12/2018 4:14:42 PM||"TB_VAL"||"Validations"||"Customizable Toolbar"||||2/20/2021 5:49:42 AM||||||||||25101
"Closed"||||9/12/2018 4:14:42 PM||"WLS_CLSD"||"Closed"||"CWH Line Status"||||6/11/2020 2:22:01 AM||||||||||6131
"Open"||||9/12/2018 4:14:42 PM||"WLS_OPEN"||"Open"||"CWH Line Status"||||6/11/2020 2:22:01 AM||||||||||6132
"Pending"||||9/12/2018 4:14:42 PM||"WLS_PEND"||"Pending"||"CWH Line Status"||||6/11/2020 2:22:01 AM||||||||||6133
"Ave. Time Processing"||0||9/12/2018 4:14:42 PM||"DBATPROC"||"Avarage amount of time spent in processing"||"Dashboard Metrics"||||6/11/2020 2:22:01 AM||||||||||843
"No. New Leads"||0||9/12/2018 4:14:42 PM||"DBNOLEAD"||"Number of new Prospects/Leads"||"Dashboard Metrics"||||6/11/2020 2:22:01 AM||||||||||844
"No. New Loans"||0||9/12/2018 4:14:42 PM||"DBNOLOAN"||"Number of New Loan Files created"||"Dashboard Metrics"||||6/11/2020 2:22:01 AM||||||||||845
"No. Loans Processing"||0||9/12/2018 4:14:42 PM||"DBNOPROC"||"Number of loans in processing"||"Dashboard Metrics"||||6/11/2020 2:22:01 AM||||||||||846
"001"||||1/8/2021 11:04:33 PM||"SCC_001"||"Recourse"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28182
"013"||||1/8/2021 11:04:33 PM||"SCC_013"||"Relocation mortgage"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28183
"071"||||1/8/2021 11:04:33 PM||"SCC_071"||"Affordable Housing Initiative (AHI Program)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28184
"128"||||1/8/2021 11:04:33 PM||"SCC_128"||"Fee Simple (for Section 184 Native American Mortgages)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28185
"130"||||1/8/2021 11:04:33 PM||"SCC_130"||"Allotted Land (for Section 184 Native American Mortgages)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28186
"203"||||1/8/2021 11:04:33 PM||"SCC_203"||"Special Purpose Cash out Refinance.  In addition to SCC 003, SCC 203 must be used for a special purpose cash out refinance Mortgage when cash was used by an owner to buyout the equity of a co-owner"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28187
"210"||||1/8/2021 11:04:33 PM||"SCC_210"||"One and Two-Year Semiannual Buydowns"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28188
"218"||||1/8/2021 11:04:33 PM||"SCC_218"||"Tribal Trust Land (for Section 184 Native American Mortgages)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28189
"237"||||1/8/2021 11:04:33 PM||"SCC_237"||"Financing concessions greater than 3% and LTV ratio greater than 90%"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28190
"257"||||1/8/2021 11:04:33 PM||"SCC_257"||"Mortgages with Partially pre-funded deductibles (California Condos – Earthquake ins)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28191
"259"||||1/8/2021 11:04:33 PM||"SCC_259"||"Mortgages with Adequately pre-funded deductibles (California Condos – Earthquake ins)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28192
"261"||||1/8/2021 11:04:33 PM||"SCC_261"||"Mortgages Evaluated – Earthquake Insurance not necessary (California Condos – Earthquake ins)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28193
"295"||||1/8/2021 11:04:33 PM||"SCC_295"||"#26 (n) – Special Provisions for Physicians – Mortgages w/Secondary Financing for the Down Payment:  Allows the Seller to originate 80/20 loans to borrowers that are physicians.  The down payment may be paid by financing offered by a U.S. Bank, N.A. bank o"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28194
"357"||||1/8/2021 11:04:33 PM||"SCC_357"||"Property Inspection Alternative"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28195
"416"||||1/8/2021 11:04:33 PM||"SCC_416"||"#23 (i) - Mortgages with 97 Percent LTV Ratios:  Required to have 35% MI; LP Accept or minimum 700 FICO"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28196
"417"||||1/8/2021 11:04:33 PM||"SCC_417"||"#2 (i) – Verification of Income Not Required for Premier and Private Bank Customers – Section 37.21:  Allows Seller to rely on income stated by the Borrower on the application for Premier or Private bank customers"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28197
"431"||||1/8/2021 11:04:33 PM||"SCC_431"||"#3(i) Purchase of DU Mortgages:  DU loan underwritten using the Property Inspection Waiver service (PIW)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28198
"448"||||1/8/2021 11:04:32 PM||"SCC_448"||"#11 EA-III"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28174
"496"||||1/8/2021 11:04:33 PM||"SCC_496"||"Relocation/Employer-assisted Mortgage with expanded definition of “cash”"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28199
"510"||||1/8/2021 11:04:33 PM||"SCC_510"||"#8. Transfer of servicing restricted"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28200
"518"||||1/8/2021 11:04:33 PM||"SCC_518"||"Mortgage Originated Under the Neighbor Works campaign"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28201
"528"||||1/8/2021 11:04:33 PM||"SCC_528"||"Mortgage underwritten by subtracting a percentage of monthly rental income from the monthly housing expenses"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28202
"530"||||1/8/2021 11:04:33 PM||"SCC_530"||"Mortgage underwritten by adding monthly rental income to stable monthly income"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28203
"532"||||1/8/2021 11:04:33 PM||"SCC_532"||"Use of Nontraditional Credit References"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28204
"537"||||1/8/2021 11:04:33 PM||"SCC_537"||"#25 (l) 90/10 exclude from pool insurance or"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28205
"547"||||1/8/2021 11:04:33 PM||"SCC_547"||"Cash on hand used as Borrower Personal Funds"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28206
"582"||||1/8/2021 11:04:33 PM||"SCC_582"||"Mortgage with an RHS leveraged second mortgage"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28207
"583"||||1/8/2021 11:04:33 PM||"SCC_583"||"Affordable Seconds used"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28208
"596"||||1/8/2021 11:04:33 PM||"SCC_596"||"$500 Borrower Contribution (equals less than 1% of Value)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28209
"806"||||1/8/2021 11:04:33 PM||"SCC_806"||"Affordable Stated Income"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28210
"822"||||1/8/2021 11:04:33 PM||"SCC_822"||"#2 DU Hurricane Policy Waiver"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28211
"902"||||1/8/2021 11:04:33 PM||"SCC_902"||"LP Mortgage delivered with Form 2070 (interior inspection)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28212
"903"||||1/8/2021 11:04:33 PM||"SCC_903"||"LP Mortgage delivered with Form 2070 (exterior only inspection)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28213
"912"||||1/8/2021 11:04:33 PM||"SCC_912"||"#21 (m) (v) – LP Post Note Date Submission/Resubmission - Section 2.2.1 (k):  Allow for Seller to submit loans through Lpno later than 120 days after the Note date."||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28214
"921"||||1/8/2021 11:04:33 PM||"SCC_921"||"Borrowers used credit card or unsecured line of credit to pay certain origination fees and costs"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28215
"922"||||1/8/2021 11:04:33 PM||"SCC_922"||"#24 (c) - Second Home Not Suitable for Year-round Occupancy"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28216
"942"||||1/8/2021 11:04:33 PM||"SCC_942"||"Seller rep and warrant of LP Accept"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28217
"954"||||1/8/2021 11:04:33 PM||"SCC_954"||"Catch the Dream 100 Mortgages"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28218
"966"||||1/8/2021 11:04:33 PM||"SCC_966"||"#5 - Streamlined Condominium Project Review With Expanded LTVs and/or Incomplete Amenities and Common Elements - Section 42.10:  Seller is required to deliver SCC code 966 for any loan that has an LTV > 90 and or incomplete amenities or common elements."||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28219
"968"||||1/8/2021 11:04:33 PM||"SCC_968"||"#16 (h) – Borrower Qualification Using Income From Future Employment"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28220
"D03"||||1/8/2021 11:04:33 PM||"SCC_D03"||"#3 (i) DU Mortgages with only $500 down"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28221
"D11"||||1/8/2021 11:04:33 PM||"SCC_D11"||"#25 (q) PITI Subsidy"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28222
"D25"||||1/8/2021 11:04:33 PM||"SCC_D25"||"Employer Assisted Homeownership Benefit"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28223
"D47"||||1/8/2021 11:04:33 PM||"SCC_D47"||"#3 (e) –Expanded LTV/TLTV/HTLTV on Initial Interest Cash-out ARMS"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28224
"D53"||||1/8/2021 11:04:33 PM||"SCC_D53"||"Seasoned Mortgage for a Newly Constructed Home (Not allowed for manufactured homes)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28225
"D54"||||1/8/2021 11:04:33 PM||"SCC_D54"||"Newly Built Home Mortgage (negotiated Credit/Construction/Settlement Period)- Site Built"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28226
"D55"||||1/8/2021 11:04:33 PM||"SCC_D55"||"Construction Conversion/Renovation Mortgage (negotiated Credit/Construction/Settlement Period) Site Built"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28227
"D69"||||1/8/2021 11:04:33 PM||"SCC_D69"||"Renovation Mortgage site-built"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28228
"D72"||||1/8/2021 11:04:33 PM||"SCC_D72"||"#7 Appraised value delivered in purchase price field"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28229
"G00"||||1/8/2021 11:04:33 PM||"SCC_G00"||"Home Possible 97"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28230
"G01"||||1/8/2021 11:04:33 PM||"SCC_G01"||"Home Possible Neighborhood Solution 97"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28231
"G02"||||1/8/2021 11:04:33 PM||"SCC_G02"||"Home Possible 100"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28232
"G03"||||1/8/2021 11:04:33 PM||"SCC_G03"||"Home Possible Neighborhood Solution 100"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28233
"G04"||||1/8/2021 11:04:33 PM||"SCC_G04"||"MCM/ Manual Home Possible 97 (negotiated offering)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28234
"G05"||||1/8/2021 11:04:33 PM||"SCC_G05"||"MCM CS /Manual Home Possible NS 97 (negotiated offering)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28235
"G06"||||1/8/2021 11:04:33 PM||"SCC_G06"||"MCM/ Manual Home Possible 100 (negotiated offering)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28236
"G07"||||1/8/2021 11:04:33 PM||"SCC_G07"||"MCM CS/ Manual Home Possible NS 100 (negotiated offering"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28237
"G18"||||1/8/2021 11:04:33 PM||"SCC_G18"||"Home Possible Mortgage with an Affordable Second if entered in LP in the Total Gift Fund field"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28238
"G20"||||1/8/2021 11:04:33 PM||"SCC_G20"||"Home Possible 3%Cash"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28239
"G21"||||1/8/2021 11:04:33 PM||"SCC_G21"||"Home Possible Neighborhood Solution 3% cash"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28240
"G22"||||1/8/2021 11:04:33 PM||"SCC_G22"||"MCM/ Manual Home Possible 3% Cash (negotiated offering)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28241
"G23"||||1/8/2021 11:04:33 PM||"SCC_G23"||"MCM CS/ Manual Home Possible NS 3% Cash (negotiated offering)"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28242
"G24"||||1/8/2021 11:04:33 PM||"SCC_G24"||"#8. Renovation/rehabilitation Mortgages with a TLTV ratio greater than 120% up to but not more than 150%"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28243
"J22"||||1/8/2021 11:04:33 PM||"SCC_J22"||"Docutech eNotarization for Freddie"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28244
"Other"||||1/8/2021 11:04:33 PM||"SCC_OTH"||"Other"||"ddFHLMCCodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28245
"J05"||0||6/24/2021 6:49:59 AM||"SFC_J05"||"FHLMC RefiPossible"||"ddFHLMCCodeManual"||||7/7/2022 4:29:26 AM||41617||"N"||||"WGS"||28770
"001"||||1/8/2021 11:04:33 PM||"SFC_001"||"Recourse"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28246
"009"||||1/8/2021 11:04:33 PM||"SFC_009"||"Moderate Interest Rate Buydown"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28247
"010"||||1/8/2021 11:04:33 PM||"SFC_010"||"Non-Poolable Special Loan/ Product Type"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28248
"013"||||1/8/2021 11:04:33 PM||"SFC_013"||"Restricted Relocation Mortgage"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28249
"014"||||1/8/2021 11:04:33 PM||"SFC_014"||"Significant Interest Rate Buydown"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28250
"015"||||1/8/2021 11:04:33 PM||"SFC_015"||"MBS Second Mortgage"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28251
"016"||||1/8/2021 11:04:33 PM||"SFC_016"||"GPM-GP Period Ended"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28252
"017"||||1/8/2021 11:04:33 PM||"SFC_017"||"Community Living Group Home"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28253
"018"||||1/8/2021 11:04:33 PM||"SFC_018"||"FDIC Loan"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28254
"033"||||1/8/2021 11:04:33 PM||"SFC_033"||"Indemnification"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28255
"036"||||1/8/2021 11:04:33 PM||"SFC_036"||"Fixed-Rate Resale of Converted ARM"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28256
"037"||||1/8/2021 11:04:33 PM||"SFC_037"||"Convertible ARM—Take-Out Option"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28257
"038"||||1/8/2021 11:04:33 PM||"SFC_038"||"Convertible ARM—Market Rate Option"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28258
"047"||||1/8/2021 11:04:33 PM||"SFC_047"||"Federal Subsidy"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28259
"048"||||1/8/2021 11:04:33 PM||"SFC_048"||"State & Local Government Subsidy"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28260
"049"||||1/8/2021 11:04:33 PM||"SFC_049"||"Public or Private Subsidy"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28261
"054"||||1/8/2021 11:04:33 PM||"SFC_054"||"Community Land Trust Option Mortgage"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28262
"061"||||1/8/2021 11:04:33 PM||"SFC_061"||"Fannie Mae’s Community Home Buyer’s Program Mortgage"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28263
"072"||||1/8/2021 11:04:33 PM||"SFC_072"||"Employer-Related Mortgages"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28264
"074"||||1/8/2021 11:04:33 PM||"SFC_074"||"Fannie 3/2 Mortgage"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28265
"084"||||1/8/2021 11:04:33 PM||"SFC_084"||"RHS-Guaranteed Mortgage – Regular Servicing Option"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28266
"087"||||1/8/2021 11:04:33 PM||"SFC_087"||"RHS-Guaranteed Mortgage – Special Servicing Option"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28267
"089"||||1/8/2021 11:04:33 PM||"SFC_089"||"HomeStyle Government Mortgage or Loan"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28268
"107"||||5/18/2021 9:59:57 PM||"SFC_107"||"New York City Co-op Share Loans and New Jersey Co-op Share Loans"||"ddFNMACodeManual"||||5/18/2021 9:59:57 PM||||"N"||||"WGS"||28656
"129"||||1/8/2021 11:04:33 PM||"SFC_129"||"Native Hawaiian Mortgage"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28271
"130"||||1/8/2021 11:04:33 PM||"SFC_130"||"Native American Other"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28272
"151"||||5/18/2021 9:59:57 PM||"SFC_151"||"Conversions of Single Closing Construction-to-Permanent Financing"||"ddFNMACodeManual"||||5/18/2021 9:59:57 PM||||"N"||||"WGS"||28657
"162"||||5/18/2021 9:59:58 PM||"SFC_162"||"SSN Positively Validated through Social Security Administration"||"ddFNMACodeManual"||||5/18/2021 9:59:58 PM||||"N"||||"WGS"||28658
"165"||||5/18/2021 9:59:58 PM||"SFC_165"||"Unit Number--Bypass Loan Delivery Edit"||"ddFNMACodeManual"||||5/18/2021 9:59:58 PM||||"N"||||"WGS"||28659
"168"||||5/18/2021 9:59:58 PM||"SFC_168"||"Inter Vivos Revocable Trusts"||"ddFNMACodeManual"||||5/18/2021 9:59:58 PM||||"N"||||"WGS"||28660
"173"||||5/18/2021 9:59:58 PM||"SFC_173"||"PACE"||"ddFNMACodeManual"||||5/18/2021 9:59:58 PM||||"N"||||"WGS"||28661
"201"||||1/8/2021 11:04:33 PM||"SFC_201"||"FHA Section 248 Native American Mortgage"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28273
"202"||||1/8/2021 11:04:33 PM||"SFC_202"||"HUD Section 184 Native American Mortgage"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28274
"203"||||1/8/2021 11:04:33 PM||"SFC_203"||"RHS Native American Mortgage"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28275
"214"||||1/8/2021 11:04:33 PM||"SFC_214"||"Desktop Underwriter Loan (Seller Acquired After Evaluation)"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28276
"215"||||1/8/2021 11:04:33 PM||"SFC_215"||"HomeStyle Renovation Mortgage"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28277
"216"||||1/8/2021 11:04:33 PM||"SFC_216"||"Lease-Purchase Option"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28278
"220"||||1/8/2021 11:04:33 PM||"SFC_220"||"RHS Direct Leveraging Program"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28279
"221"||||1/8/2021 11:04:33 PM||"SFC_221"||"Native American Conventional Lending Initiative (NACLI)"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28280
"230"||||1/8/2021 11:04:33 PM||"SFC_230"||"Native American Conventional Mortgage"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28281
"236"||||1/8/2021 11:04:33 PM||"SFC_236"||"Delivery of Refinanced or Modified Balloon Mortgage"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28282
"279"||||5/18/2021 9:59:58 PM||"SFC_279"||"HomeStyle Renovation Mortgage without Recourse"||"ddFNMACodeManual"||||5/18/2021 9:59:58 PM||||"N"||||"WGS"||28662
"296"||||5/18/2021 9:59:58 PM||"SFC_296"||"Project Eligibility Waiver"||"ddFNMACodeManual"||||5/18/2021 9:59:58 PM||||"N"||||"WGS"||28663
"340"||||1/8/2021 11:04:32 PM||"SFC_340"||"DU Expanded Approval/Level 1"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28175
"341"||||1/8/2021 11:04:32 PM||"SFC_341"||"DU Expanded Approval/Level II"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28176
"342"||||1/8/2021 11:04:32 PM||"SFC_342"||"DU Expanded Approval/Level III"||"ddFNMACodeManual"||||1/8/2021 11:06:10 PM||||"N"||||"WGS"||28177
"343"||||5/18/2021 9:59:58 PM||"SFC_343"||"DU Recommendation Override"||"ddFNMACodeManual"||||5/18/2021 9:59:58 PM||||"N"||||"WGS"||28664
"346"||||1/8/2021 11:04:33 PM||"SFC_346"||"DU-Processed Mortgage with 18% Lower Cost MI Option"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28283
"347"||||1/8/2021 11:04:33 PM||"SFC_347"||"DU-Processed Mortgage with 12% Lower Cost MI Option"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28284
"356"||||1/8/2021 11:04:33 PM||"SFC_356"||"New Immigrants Products"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28285
"375"||||5/18/2021 9:59:58 PM||"SFC_375"||"HomeStyle Energy Improvement"||"ddFNMACodeManual"||||5/18/2021 9:59:58 PM||||"N"||||"WGS"||28665
"416"||||5/18/2021 9:59:58 PM||"SFC_416"||"SF Disaster Response–Refinance Enhancement to Facilitate Rebuilding in Disaster Areas"||"ddFNMACodeManual"||||5/18/2021 9:59:58 PM||||"N"||||"WGS"||28666
"426"||||1/8/2021 11:04:33 PM||"SFC_426"||"Streamlined Purchase Money Mortgage Option 1"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28286
"427"||||1/8/2021 11:04:33 PM||"SFC_427"||"Streamlined Purchase Money Mortgage Option 2"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28287
"446"||||1/8/2021 11:04:33 PM||"SFC_446"||"High LTV Mortgages with Subordinate Financing"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28288
"496"||||1/8/2021 11:04:33 PM||"SFC_496"||"Streamlined Refinance Mortgage Option 1"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28289
"497"||||1/8/2021 11:04:33 PM||"SFC_497"||"Streamlined Refinance Mortgage Option 2"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28290
"508"||||1/8/2021 11:04:33 PM||"SFC_508"||"Docutech eNote Or Mortgage for Fannie"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28291
"541"||||1/8/2021 11:04:33 PM||"SFC_541"||"Borrower Protection Plan"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28292
"564"||||1/8/2021 11:04:33 PM||"SFC_564"||"Flexible Mortgage Minimum Borrower Contribution"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28293
"576"||||1/8/2021 11:04:33 PM||"SFC_576"||"Bridge Loan"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28294
"586"||||1/8/2021 11:04:33 PM||"SFC_586"||"Native American Cost-Based Appraisal"||"ddFNMACodeManual"||||1/8/2021 11:06:11 PM||||"N"||||"WGS"||28295
